epoch,step,train_step_loss,val_step_loss
0,0,303.7203063964844,
0,1,296.4070739746094,
0,2,497.8548278808594,
0,3,267.8157653808594,
0,4,403.81146240234375,
0,5,354.8980407714844,
0,6,564.0333251953125,
0,6,,292.5918273925781
1,7,229.4150390625,
1,8,180.57888793945312,
1,9,216.08120727539062,
1,10,252.9807891845703,
1,11,425.40606689453125,
1,12,516.0042724609375,
1,13,279.0832214355469,
1,13,,238.4431915283203
2,14,239.5836181640625,
2,15,256.5401306152344,
2,16,368.0649108886719,
2,17,134.50814819335938,
2,18,319.39508056640625,
2,19,187.74490356445312,
2,20,226.7874298095703,
2,20,,174.9976806640625
3,21,184.3242950439453,
3,22,143.21304321289062,
3,23,118.87918853759766,
3,24,269.027099609375,
3,25,252.3162841796875,
3,26,133.67454528808594,
3,27,303.9687805175781,
3,27,,126.93856048583984
4,28,186.887451171875,
4,29,192.37637329101562,
4,30,141.1969451904297,
4,31,96.62812805175781,
4,32,317.1831970214844,
4,33,236.1564483642578,
4,34,60.139320373535156,
4,34,,102.57732391357422
5,35,266.812744140625,
5,36,147.01583862304688,
5,37,138.3004150390625,
5,38,186.4720916748047,
5,39,138.03514099121094,
5,40,214.91015625,
5,41,86.23514556884766,
5,41,,94.9050064086914
6,42,127.1220932006836,
6,43,302.7902526855469,
6,44,114.9891128540039,
6,45,122.10133361816406,
6,46,120.3408432006836,
6,47,138.39907836914062,
6,48,171.31979370117188,
6,48,,91.57430267333984
7,49,210.4488525390625,
7,50,113.11714172363281,
7,51,187.5079345703125,
7,52,155.05162048339844,
7,53,180.3868408203125,
7,54,145.69522094726562,
7,55,110.18712615966797,
7,55,,89.52230072021484
8,56,217.3024444580078,
8,57,134.82559204101562,
8,58,179.04751586914062,
8,59,153.20721435546875,
8,60,135.61756896972656,
8,61,104.7486801147461,
8,62,153.30662536621094,
8,62,,88.96192169189453
9,63,72.3375244140625,
9,64,208.88279724121094,
9,65,123.6365737915039,
9,66,64.1971435546875,
9,67,123.42867279052734,
9,68,182.41128540039062,
9,69,184.7981719970703,
9,69,,89.2989501953125
10,70,195.3905029296875,
10,71,198.15196228027344,
10,72,180.20298767089844,
10,73,86.26939392089844,
10,74,122.96074676513672,
10,75,97.56820678710938,
10,76,67.70049285888672,
10,76,,87.9238052368164
11,77,187.88516235351562,
11,78,110.4198989868164,
11,79,119.63685607910156,
11,80,137.8188018798828,
11,81,127.96478271484375,
11,82,246.0127410888672,
11,83,118.51055145263672,
11,83,,86.8270492553711
12,84,105.4859619140625,
12,85,168.73219299316406,
12,86,132.34344482421875,
12,87,191.9159698486328,
12,88,65.54227447509766,
12,89,160.2606658935547,
12,90,179.1334228515625,
12,90,,84.49382781982422
13,91,103.31312561035156,
13,92,222.7311553955078,
13,93,201.08592224121094,
13,94,118.0394515991211,
13,95,108.7310791015625,
13,96,112.9120864868164,
13,97,131.52842712402344,
13,97,,84.27871704101562
14,98,106.58125305175781,
14,99,173.7560577392578,
14,100,153.76126098632812,
14,101,140.4912109375,
14,102,189.5072784423828,
14,103,130.26780700683594,
14,104,117.90262603759766,
14,104,,83.96826171875
15,105,130.74266052246094,
15,106,63.56855010986328,
15,107,173.38623046875,
15,108,200.8751678466797,
15,109,121.86248016357422,
15,110,158.29763793945312,
15,111,128.36769104003906,
15,111,,82.6641845703125
16,112,181.1229705810547,
16,113,101.87993621826172,
16,114,110.8835220336914,
16,115,121.82515716552734,
16,116,108.5191879272461,
16,117,186.5832977294922,
16,118,161.4207305908203,
16,118,,82.6363296508789
17,119,130.23211669921875,
17,120,219.73924255371094,
17,121,141.09878540039062,
17,122,79.9268569946289,
17,123,133.36424255371094,
17,124,126.6270751953125,
17,125,72.99053955078125,
17,125,,82.43843841552734
18,126,93.4428939819336,
18,127,127.02607727050781,
18,128,144.4098663330078,
18,129,112.9397201538086,
18,130,192.6684112548828,
18,131,106.3673324584961,
18,132,149.7344970703125,
18,132,,82.21336364746094
19,133,91.72057342529297,
19,134,258.828125,
19,135,133.58990478515625,
19,136,154.9019012451172,
19,137,112.96129608154297,
19,138,94.62895965576172,
19,139,135.43043518066406,
19,139,,80.7176742553711
20,140,155.87216186523438,
20,141,132.0636444091797,
20,142,80.37443542480469,
20,143,106.90937805175781,
20,144,135.18833923339844,
20,145,197.629638671875,
20,146,86.68956756591797,
20,146,,79.01280975341797
21,147,191.79661560058594,
21,148,109.145263671875,
21,149,78.24375915527344,
21,150,93.37529754638672,
21,151,196.1681671142578,
21,152,111.14935302734375,
21,153,94.42347717285156,
21,153,,77.71894073486328
22,154,128.7825164794922,
22,155,76.63162994384766,
22,156,112.452880859375,
22,157,100.08197784423828,
22,158,152.16812133789062,
22,159,270.6513977050781,
22,160,73.04898071289062,
22,160,,76.38397216796875
23,161,293.47369384765625,
23,162,155.8226776123047,
23,163,68.38018035888672,
23,164,105.18880462646484,
23,165,71.97042083740234,
23,166,183.9388885498047,
23,167,113.86500549316406,
23,167,,75.4914779663086
24,168,94.89217376708984,
24,169,127.39009857177734,
24,170,116.79241180419922,
24,171,143.5714111328125,
24,172,134.42283630371094,
24,173,186.7096405029297,
24,174,123.23577880859375,
24,174,,75.39350128173828
25,175,75.44007873535156,
25,176,111.18981170654297,
25,177,111.72589111328125,
25,178,121.46379852294922,
25,179,106.34956359863281,
25,180,228.68711853027344,
25,181,205.6447296142578,
25,181,,74.4696273803711
26,182,235.8614501953125,
26,183,102.59309387207031,
26,184,133.44459533691406,
26,185,143.8343505859375,
26,186,122.7727279663086,
26,187,93.44679260253906,
26,188,109.27595520019531,
26,188,,74.19556427001953
27,189,190.5271453857422,
27,190,181.6035919189453,
27,191,188.88307189941406,
27,192,110.70873260498047,
27,193,126.6466293334961,
27,194,92.9163589477539,
27,195,73.2156982421875,
27,195,,73.67505645751953
28,196,165.83619689941406,
28,197,108.25616455078125,
28,198,158.0091552734375,
28,199,71.89289855957031,
28,200,145.8504180908203,
28,201,126.2707290649414,
